date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:36	20/20	---M-Z	200	added ('OK')	text/plain	date:Sat,%2004%20Nov%202023%2006:22:36%20GMT	https://interno-template.webflow.io/robots.txt		(from )
11:52:36	27702/27702	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:36%20GMT	https://interno-template.webflow.io/	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/index.html	(from )
11:52:37	81433/81433	---M-Z	200	added ('OK')	text/css	etag:%22ff6037b33191623b8c443e73f977cdec%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/css/interno-template.webflow.df0001938.min.css	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/css/interno-template.webflow.df0001938.min.css	(from https://interno-template.webflow.io/)
11:52:37	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/manuk/Downloads/certon-interior/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://interno-template.webflow.io/)
11:52:38	1436/1436	---M--	200	added ('OK')	image/png	etag:%227d7ce9141436773abd52a2ce892af4a7%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61c01137ce98a30a305516a8_interno-favicon.png	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61c01137ce98a30a305516a8_interno-favicon.png	(from https://interno-template.webflow.io/)
11:52:39	18085/18085	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:38%20GMT	https://interno-template.webflow.io/about-us	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/about-us.html	(from https://interno-template.webflow.io/)
11:52:39	14613/14613	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:39%20GMT	https://interno-template.webflow.io/services	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/services.html	(from https://interno-template.webflow.io/)
11:52:39	15734/15734	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:39%20GMT	https://interno-template.webflow.io/our-projects	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/our-projects.html	(from https://interno-template.webflow.io/)
11:52:40	18682/18682	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:39%20GMT	https://interno-template.webflow.io/professionals	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/professionals.html	(from https://interno-template.webflow.io/)
11:52:40	13138/13138	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:40%20GMT	https://interno-template.webflow.io/services-single	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/services-single.html	(from https://interno-template.webflow.io/)
11:52:41	9791/9791	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:40%20GMT	https://interno-template.webflow.io/pricing-plan	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/pricing-plan.html	(from https://interno-template.webflow.io/)
